Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
4323,MX-2012-154459,2012-01-02,2012-06-02,Standard Class,JF-15190,Jamie Frazer,Consumer,Santiago,Santiago,Chile,,LATAM,South,TEC-PH-10002102,Technology,Phones,"Nokia Headset, Cordless",151.92,3,0.0,71.4,32.94,High
2829,MX-2012-114461,2012-01-02,2012-05-02,Standard Class,RM-19375,Raymond Messe,Consumer,Escuintla,Escuintla,Guatemala,,LATAM,Central,TEC-AC-10002760,Technology,Accessories,"Memorex Memory Card, Erganomic",200.16,3,0.0,0.0,28.95,High
2828,MX-2012-114461,2012-01-02,2012-05-02,Standard Class,RM-19375,Raymond Messe,Consumer,Escuintla,Escuintla,Guatemala,,LATAM,Central,FUR-CH-10001423,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",192.88,2,0.0,54.0,19.27,High
6762,MX-2012-151904,2012-01-02,2012-03-02,First Class,DJ-13420,Denny Joy,Corporate,Villa Canales,Guatemala,Guatemala,,LATAM,Central,OFF-PA-10003571,Office Supplies,Paper,"Enermax Cards & Envelopes, Recycled",94.02,3,0.0,1.86,10.73,Medium
2827,MX-2012-114461,2012-01-02,2012-05-02,Standard Class,RM-19375,Raymond Messe,Consumer,Escuintla,Escuintla,Guatemala,,LATAM,Central,OFF-SU-10001750,Office Supplies,Supplies,"Stiletto Trimmer, High Speed",57.0,2,0.0,24.48,9.51,High
47271,NI-2012-390,2012-01-02,2012-05-02,Standard Class,PP-8955,Paul Prost,Home Office,Maiduguri,Borno,Nigeria,,Africa,Africa,TEC-CAN-10000030,Technology,Copiers,"Canon Fax Machine, Laser",95.51700000000001,1,0.7,-191.043,8.07,Medium
15611,ES-2012-2785188,2012-01-02,2012-06-02,Standard Class,RA-19945,Ryan Akin,Consumer,Fiumicino,Lazio,Italy,,EU,South,TEC-AC-10000494,Technology,Accessories,"Logitech Numeric Keypad, USB",139.59,3,0.0,59.94,5.45,Medium
46486,BO-2012-7240,2012-01-02,2012-05-02,Standard Class,BT-1305,Beth Thompson,Home Office,Pinsk,Brest,Belarus,,EMEA,EMEA,OFF-SME-10004160,Office Supplies,Storage,"Smead Folders, Wire Frame",33.12,2,0.0,1.98,2.46,Medium
47270,NI-2012-390,2012-01-02,2012-05-02,Standard Class,PP-8955,Paul Prost,Home Office,Maiduguri,Borno,Nigeria,,Africa,Africa,OFF-ENE-10000199,Office Supplies,Paper,"Enermax Computer Printout Paper, Multicolor",8.964,1,0.7,-20.046,0.66,Medium
47272,NI-2012-390,2012-01-02,2012-05-02,Standard Class,PP-8955,Paul Prost,Home Office,Maiduguri,Borno,Nigeria,,Africa,Africa,TEC-MEM-10000263,Technology,Accessories,"Memorex Flash Drive, Programmable",18.54,2,0.7,-22.92,0.33,Medium
40078,CA-2012-133585,2012-01-03,2012-04-03,First Class,CM-12715,Craig Molinari,Corporate,Houston,Texas,United States,77070.0,US,Central,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1227.9984,6,0.32,-36.1176,131.64,High
18509,ES-2012-3082564,2012-01-03,2012-05-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,Bristol,England,United Kingdom,,EU,North,TEC-PH-10003492,Technology,Phones,"Cisco Audio Dock, Full Size",733.44,4,0.0,109.92,69.61,Medium
11813,ES-2012-2363775,2012-01-03,2012-05-03,Standard Class,JW-15955,Joni Wasserman,Consumer,Bremen,Bremen,Germany,,EU,Central,TEC-MA-10003698,Technology,Machines,"Okidata Phone, White",596.82,7,0.0,5.88,53.23,Medium
40741,CA-2012-104052,2012-01-03,2012-02-03,First Class,TP-21565,Tracy Poddar,Corporate,Coppell,Texas,United States,75019.0,US,Central,TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,95.84,4,0.2,34.742,21.36,Critical
11814,ES-2012-2363775,2012-01-03,2012-05-03,Standard Class,JW-15955,Joni Wasserman,Consumer,Bremen,Bremen,Germany,,EU,Central,OFF-AR-10003651,Office Supplies,Art,"Sanford Pencil Sharpener, Easy-Erase",189.63,7,0.0,94.71,17.1,Medium
40077,CA-2012-133585,2012-01-03,2012-04-03,First Class,CM-12715,Craig Molinari,Corporate,Houston,Texas,United States,77070.0,US,Central,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,55.328,2,0.2,6.2244,10.3,High
